,nombre_del_platillo,tiempo_preparacion,porciones,ingredientes,instrucciones,nutricion
467,Pastel al revés,1 hrs 10 mins,12,"1 ¼ tazas de harina para todo uso, 1 ½ cucharaditas en polvo de hornear, ¼ cucharadita de sal, 3 cucharadas de margarina, ¼ taza de azúcar morena, ? taza de margarina, 1 taza de azúcar blanca, 1 huevo, 1 cucharadita de extracto de vainilla, ¾ taza de leche, 4 negro, 4 huevo ciruelas, picadas y en rodajas finas, ¾ taza de arándanos","Precaliente el horno a 350 grados F (175 grados C). Engrase un molde para pastel de 9 pulgadas. Combine la harina, el polvo de hornear y la sal. Dejar de lado.
En la sartén preparada, combine 3 cucharadas de margarina y azúcar morena. Coloque la sartén dentro del horno precalentado hasta que la margarina se derrita y comience a burbujear. Dejar de lado. En un tazón grande, críe la 1/3 taza de margarina y 1 taza de azúcar blanca hasta que estén ligeros y esponjosos. Batir en el huevo, luego agregue la vainilla. Batir en la mezcla de harina alternativamente con la leche, mezclando hasta que se incorpore.
Organice ciruelas alrededor de los bordes de la sartén preparada, superpuesta ligeramente. Distribuya los arándanos en el centro. Vierta la masa en la sartén preparada, cubriendo la fruta por completo. Hornee en el horno precalentado durante 40 minutos, o hasta que un palillo de dientes insertado en el centro del pastel salga limpio. Deje enfriar 15 minutos antes de servir.","Total de grasa 9G 11%, grasa saturada 2G 9%, colesterol 17mg 6%, sodio 196mg 9%, carbohidrato total 36G 13%, fibra dietética 1G 3%, azúcares totales 25 g, proteína 3G, vitamina C 3mg 15%, calcio 55mg 4 4 %, Hierro 1 mg 4%, potasio 94mg 2%"
468,Ciruelas picantes,35 mins,4,"4 ciruelas, a la mitad y picada, ½ taza de jugo de naranja, 2 cucharadas de azúcar morena empaquetada, ½ cucharadita de canela molida, ? Nuez molde de cucharadita, ? Cumina de cucharadita, ? Cardamomo molido de cucharadita, ¼ de taza de almendras tostadas (opcionales)","Precaliente el horno a 400 grados F (200 grados C). Engrase una fuente para hornear poco profunda con spray de cocción.
Coloque ciruelas, corta hacia arriba, en una sola capa en la fuente de hornear preparada.
Batir el jugo de naranja, el azúcar morena, la canela, la nuez moscada, el comino y el cardamomo en un tazón; Rocíe sobre las ciruelas.
Hornee en el horno precalentado hasta que las ciruelas estén calientes y la salsa esté burbujeante, aproximadamente 20 minutos. Cubra con almendras tostadas.","Total de grasa 4G 5%, grasas saturadas 0G 2%, sodio 3 mg 0%, carbohidrato total 19G 7%, fibra dietética 2G 6%, azúcares totales 16 g, proteína 2G, vitamina C 22mg 109%, calcio 34mg 3%, hierro 1 mg 3 3 mg 3 de %, Potasio 221mg 5%"
469,Carne de cerdo con salsa de ciruela,1 hrs 15 mins,4,"2 cucharadas de aceite vegetal, 4 chuletas de carne de cerdo deshuesadas, sal y pimienta negra molida al gusto, 1 ajo de clavo grande, picado, ¼ de taza de salsa de soja, 2 cucharadas de vinagre de vino tinto, 2 cucharadas de azúcar marrón, ¼ cucharadita de jengibre molido , 5 ciruelas frescas, picadas y picadas","Caliente el aceite vegetal en una sartén a fuego medio-alto. Sazonar las chuletas de cerdo con sal y pimienta; Cocine en aceite caliente hasta que se dore, aproximadamente 2 minutos por lado. Retire las chuletas de cerdo a un plato.
Reduce el fuego a medio; Cocine y revuelva el ajo en la sartén hasta que estén fragantes, de 10 a 20 segundos. Vierta la salsa de soja, el vinagre de vino tinto, el azúcar morena, el jengibre y los clavo; llevar a ebullición. Revuelva la mezcla hasta que el azúcar morena se disuelva; Agrega ciruelas.
Cubra la sartén, reduzca el fuego y cocine a fuego lento hasta que la salsa se espese y las ciruelas estén muy suaves, aproximadamente 45 minutos.
Mash Plums con un machacador de papas a una textura de puré de manzana. Vuelva a colocar las chuletas de cerdo en la sartén y cocine en la salsa hasta que ya no esté rosa en el medio, de 10 a 15 minutos. Un termómetro de carne insertado en el medio de un corte debe leer 145 grados (63 grados C).","Total de grasa 14g 18%, grasa saturada 4G 18%, colesterol 59mg 20%, sodio 938mg 41%, carbohidrato total 18 g 7%, fibra dietética 1 g 5%, azúcares totales 15 g, proteína 25 g, vitamina C 9 mg 43%, calcio 35mg 3 3 %, Hierro 1 mg 8%, potasio 529mg 11%"
470,Látigo,50 mins,6,"1 ? Cazas de las ciruelas pasas, ? taza de agua, ? taza de azúcar blanco, 1 cucharadita de jugo de limón, 1 cucharadita de extracto de vainilla, 6 claras de huevo, ¼ cucharadita de crema de tártaro","En una cacerola mediana, cocine a fuego lento en las ciruelas en agua hasta que estén suaves, drene y puré. Combine el puré en una cacerola con el azúcar y caliente hasta que el azúcar se disuelva. Agregue el jugo de limón y la vainilla.
Batir las claras de huevo hasta que estén espumosas, agregue la crema de alquitrán y bata hasta que estén rígidos. Dobla el puré de ciruela en las claras de huevo.
Vierta en una fuente para hornear para hornear con mantequilla y azucarado de 2 cuartos y hornee en un horno precalentado de 300 grados F (150 grados C) hasta que esté bien dorado. Refrigere y sirva frío con crema batida.","Total de grasa 0G 0%, sodio 57mg 2%, carbohidrato total 35G 13%, fibra dietética 3G 10%, azúcares totales 28 g, proteína 5 g, vitamina C 2 mg 9%, calcio 22 mg 2%, hierro 1mg 6%, potasio 359mg 8%%,"
471,Fruta fresca frangipane tarta,1 hrs 55 mins,8,3 rectángulos de hojaldre,"Precaliente el horno a 400 grados F (200 grados C).
Coloque 1 trozo de hojaldre en una bandeja para hornear forrada con una alfombra de silicona o papel pergamino. Humedecer ligeramente uno de los bordes cortos con agua. Conecte el extremo de otra hojaldre al borde humedecido. Presione las piezas juntas para formar un rectángulo largo, recortando los cabos sueltos con un raspador de masa según sea necesario.
Corte la tercera pieza de hojaldre a lo largo en tiras de 1 pulgada. Humedecer los bordes exteriores del rectángulo largo con el dedo; Peque las tiras de pastelería en la parte superior. Puse agujeros poco profundos en todo el fondo de la masa usando un tenedor. No pinches el borde elevado.
Hornee la carcasa de la masa en el horno precalentado hasta que comience a dorado, aproximadamente 15 minutos. Retirar del horno. Reduzca la temperatura del horno a 375 grados F (190 grados C). Reajuste los bordes y empuje la parte inferior hacia abajo con el lado plano de un tenedor. Deje enfriar completamente mientras prepara el relleno.
Coloque la mantequilla y 1/3 de taza más 1 cucharada de azúcar en un tazón; Mancha junta usando una espátula hasta que se combinen. Batir el huevo hasta que la mezcla esté cremosa. Agregue harina de almendras, sal, extracto de vainilla y extracto de almendras. Mezcle bien. Corta cada pluot en 6 cuñas. Llena la carcasa de pastelería con pasta de almendras. Stick pluots cómodamente, pero no demasiado profundamente, para llenar.
Hornee en el horno precalentado hasta que estén dorados y el relleno de almendras esté configurado de 30 a 40 minutos. Transfiera la tarta a una rejilla y deje enfriar por completo, al menos 40 minutos.
Combine la mermelada de albaricoque y el agua en un tazón seguro para microondas. Llevar a ebullición en el microondas. Deje enfriar hasta que esté caliente. Cepille el esmalte sobre la tarta enfriada.









","Total de grasa 25 g 32%, grasa saturada 6 g 31%, colesterol 29mg 10%, sodio 204mg 9%, carbohidrato total 39g 14%, fibra dietética 2G 8%, azúcares totales 17G, proteína 7g, vitamina C 1 mg 4%, calcio 10mg 1 %, Hierro 1 mg 7%, potasio 41mg 1%"
472,Albóndigas de ciruela,2 hrs 15 mins,10,"25 ciruelas de ciruela de ciruela italiana, 3 cucharadas de azúcar, 2 papas grandes, peladas y descuidadas","Para enfrentar las ciruelas, córtelas casi por la mitad, abra y retire el pozo. Coloque aproximadamente 1/3 cucharadita de azúcar en el hueco de cada ciruela; Cierre la ciruela y colóquelo en un tazón. Dejar de lado.
Coloque las papas en una olla grande con suficiente agua para cubrir. Llevar a ebullición y cocine hasta que estén tiernos. Fuga. Cuando esté lo suficientemente frío como para manejar, puré de papas con un tenedor o un machacador de papas. Necesitará 1 taza de puré de papas. Ponga a un lado y manténgase caliente.
Para hacer la masa, tamizar la harina, el azúcar, el polvo de hornear y la sal en una pila en una placa de pan. Haga un hueco en el centro; Agregue 1 taza de puré de papas, yemas de huevo y acortes en el pozo, y trabaje hasta que la masa sea flexible y suave.
Cuando la masa se amase a fondo, extiéndela sobre un tablero enharinado a un grosor de aproximadamente 1/4 de pulgada. Corte en rondas de aproximadamente 4 pulgadas con un cortador de galletas. Sosteniendo un trozo de masa en la mano, coloque una ciruela entera en el centro. Coloque otro trozo de masa en la parte superior y presione para sellar los bordes de la masa juntos. Asegúrese de que no haya fugas, o la ciruela salga durante la cocción.
Para cocinar, hierva una olla profunda de agua salada. Coloque las albóndigas en agua y hierva suavemente durante unos 10 minutos.
Mientras tanto, para hacer la salsa, derrita la mantequilla en una sartén grande a fuego medio. Agregue el azúcar morena. (Si lo desea, agregue un poco de jugo que se acumule en el tazón de ciruelas picadas). Agregue una pequeña cantidad de migas de pan para espesar ligeramente la salsa.
Cuando se realicen albóndigas, retírelas del agua hirviendo y colóquelas en la sartén y gire para cubrir las albóndigas. Sirva caliente con salsa adicional vertida sobre ellos.","Total de grasa 14g 18%, grasa saturada 7g 36%, colesterol 86mg 29%, sodio 236 mg 10%, carbohidrato total 94g 34%, fibra dietética 5G 18%, azúcares totales 53g, proteína 7 g, vitamina C 30 mg 151%, calcio 75mg 6 6 %, Hierro 3mg 16%, potasio 661mg 14%"
473,Mermelada de cardamomo de ciruela de damson,7 hrs 30 mins,100,"5 libras de ciruelas frescas de damson o damasco, 1 taza de agua, 12 vainas de cardamomo enteras, 4 tazas de azúcar blanca, ¼ cucharadita de mantequilla","En un fregadero lleno de agua fría, enjuague y elimine las ciruelas. Coloque en una sartén de fondo grueso adecuado para cocinar lenta y lo suficientemente profundo como para permitir la espuma cuando las ciruelas comienzan a hervir. Agregue las vainas de agua y cardamomo y ponga la mezcla a bajo alerta a fuego medio. Gire el fuego a bajo para un fuego lento y deje que la fruta se cocine descubierta durante 1 1/2 horas. Permita que las ciruelas se enfríen.
Para enfrentar las ciruelas, cuele las ciruelas enfriadas con un colador, presionando el jugo con las manos y recolectándolo en un tazón grande. Recoge la lechada de fichas en el colador por pequeños puñados y exprime la pulpa de ciruela y las pieles en el tazón con el jarabe, conservando los pozos en la palma de la mano y luego descartarlos.
Vuelva a colocar las ciruelas en la olla original con el azúcar y la mantequilla. Cocine a fuego lento muy bajo hasta que la mezcla comience a espesarse, aproximadamente 4 horas. Para probar el desarrollo adecuado de la pectina, deje caer una cucharada de mermelada en un plato y colóquela en el refrigerador durante unos minutos: la mezcla debe ser suave y ya no es almibarado.
Coloque la mermelada caliente en frascos calientes y estériles, limpie las llantas, coloque las tapas estériles y apriete las tapas de los tornillos. Permita que los frascos se enfríen a temperatura ambiente y verifiquen para asegurarse de que cada frasco se haya sellado.","Total de grasa 0g 0%, sodio 0 mg 0%, carbohidrato total 11 g 4%, fibra dietética 0G 1%, azúcares totales 10 g, proteína 0 g, vitamina C 2mg 11%, calcio 2 mg 0%, hierro 0 mg 1%, potasio 37mg 1%1%"
474,Zapatero de fruta fresca,1 hrs,6,"1 taza de duraznos frescos en rodajas, ¾ taza pelada, manzana con núcleo y en rodajas, ¾ taza pelada, pera con núcleo y en rodajas, ½ taza de arándanos, ½ taza de cerezas con picadas y en rodajas, ½ taza de ciruelas picadas y en rodajas, 1 huevo, ¾ taza de azúcar blanca, azúcar blanca, ¼ de taza de leche, 1 taza de harina para todo uso, 1 cucharadita de horno en polvo, ½ cucharadita de sal, ½ cucharadita de extracto de vainilla, 2 cucharadas de mantequilla, derretido","Precaliente el horno a 350 grados F (175 grados C). Engrase una fuente para hornear de 2 cuartos.
Organice los duraznos, la manzana, la pera, los arándanos, las cerezas y las ciruelas en la fuente para hornear preparada. En un tazón mediano, bata el huevo, el azúcar y la leche. En un tazón aparte, tamizar la harina, el polvo de hornear y la sal; Revuelva a la mezcla de huevo. Agregue la vainilla y la mantequilla derretida. Cubra la fruta con la mezcla de masa.
Hornee 30 minutos en el horno precalentado. Cobbler debe ser burbujeante y ligeramente dorado. Servir caliente.","Total de grasa 5G 7%, grasa saturada 3G 15%, colesterol 42mg 14%, sodio 320 mg 14%, carbohidrato total 54 g 20%, fibra dietética 2G 8%, azúcares totales 35 g, proteína 4G, vitamina C 14 mg 71%, calcio 75mg 6 6 %, Hierro 1 mg 8%, potasio 157mg 3%"
475,Pastel de poda,1 hrs 25 mins,12,"1 taza de podas picadas, ½ taza de agua, 2 tazas de harina para todo uso, 1 ½ tazas de azúcar blanca, 1 cucharada de pimienta de Jama , 1 taza de suero de leche, 2 huevos, ligeramente batidos, 1 ½ tazas de nueces picadas","Combine las ciruelas ciruelas y el agua en una cacerola pequeña a fuego medio-alto. Lleve a ebullición, reduzca el fuego a bajo y cocine a fuego lento hasta que las ciruelas pasas estén tiernas, aproximadamente 5 minutos. Drene y reserve.
Precaliente el horno a 350 grados F (175 grados C). Engrasa y harina una bandeja de tubo estriada (como un Bundt®).
Mezcle la harina, 1 1/2 tazas de azúcar, pimienta de Jama, bicarbonato de sodio, nuez moscada, canela y sal en un tazón. Combine el aceite vegetal, 1 taza de suero de leche y huevos en un tazón separado; Viertalos en la mezcla de harina. Mezcle hasta que esté completamente incorporado. Use una batidora eléctrica para mezclar en las ciruelas drañas; La batidora los romperá un poco. Agregue las nueces picadas.
Vierta la masa en la sartén preparada y hornee en el horno precalentado hasta que un probador salga limpio, aproximadamente 45 minutos. Retire el pastel del horno y deje que se enfríe durante al menos 10 minutos en una rejilla.
Para hacer glaseado, combine 1 taza de azúcar, margarina, 1/2 taza de suero de leche, extracto de vainilla y jarabe de maíz en una cacerola y hierva a fuego medio-alto. Hervir durante 5 minutos completos, revolviendo ocasionalmente.
Invierta el pastel en una fuente y vierta la formación de hielo caliente sobre el pastel.","Total de grasa 37G 47%, grasa saturada 5G 25%, colesterol 29mg 10%, sodio 336mg 15%, carbohidrato total 73g 27%, fibra dietética 3G 11%, azúcares totales 51G, proteína 6 g, vitamina C 1 mg 6%, calcio 69mg 5 5 %, Iron 2mg 11%, potasio 252 mg 5%"
476,Delicioso cereal de salvado de avena,10 mins,1,"1 taza de agua, ¼ cucharadita de canela molida, 5 podas secas, picado, 1 cucharadita de azúcar sustituto (como Splenda), ¼ taza de salvado de avena","Combine agua, canela, ciruelas ciruelas y azúcar sustitutos en una cacerola a fuego medio; llevar a ebullición; Agregue el salvado de avena y hierva durante 2 minutos.","Total de grasa 2G 2%, grasa saturada 0G 2%, sodio 10 mg 0%, carbohidrato total 42G 15%, fibra dietética 7G 25%, azúcares totales 18 g, proteína 5 g, vitamina C 1 mg 7%, calcio 48mg 4%, hierro 2mg 13 13 13 %, Potasio 451mg 10%"
